comarca,serventia,ano_ref,Distribuidos_ano,Baixados_ano,Pendentes_ano,Taxa_Cong_anual (%)
CIDADE OCIDENTAL,"1ª Vara (Cível, de Família, Sucessões e da Infância e da Juventude)",2025,2213,2381,1830,43.46
CIDADE OCIDENTAL,"2ª Vara (Cível, das Fazendas Públicas, de Registros Públicos e Ambiental)",2025,1282,2484,2948,54.27
CIDADE OCIDENTAL,Juizado Especial Cível e Criminal,2025,3536,3446,2360,40.65
CIDADE OCIDENTAL,Vara Criminal,2025,1851,1956,2777,58.67
COCALZINHO DE GOIÁS,Vara Judicial,2025,2075,2552,3406,57.17
CORUMBÁ DE GOIÁS,Vara Judicial,2025,1006,1441,946,39.63
CRISTALINA,"1ª Vara (Cível, de Família, Sucessões e da Infância e da Juventude)",2025,1344,1684,2697,61.56
CRISTALINA,"2ª Vara (Cível, das Fazendas Públicas, de Registros Públicos e Ambiental)",2025,1895,2278,4000,63.71
CRISTALINA,Vara Criminal,2025,1602,1893,2705,58.83
CRIXÁS,Vara Judicial,2025,1792,2289,4285,65.18
EDÉIA,Vara Judicial,2025,1830,1883,4078,68.41
ESTRELA DO NORTE,Vara Judicial,2025,1318,1902,2012,51.41
FAZENDA NOVA,Vara Judicial,2025,991,1345,1382,50.68
FIRMINÓPOLIS,Vara Judicial,2025,1285,1284,2962,69.76
FLORES DE GOIÁS,Vara Judicial,2025,1067,1844,2056,52.72
FORMOSA,1ª Vara (Cível e da Inf. e da Juv.),2025,1377,1051,2518,70.55
FORMOSA,"1ª Vara Criminal (crimes dolosos contra a vida, Pres. Trib. Juri e execuções penais)",2025,808,1125,2918,72.17
FORMOSA,8º CEJUSC REGIONAL VIRTUAL DO INTERIOR,2025,3257,2718,879,24.44
FORMOSA,Vara Regional de Execução Penal,2025,103,38,727,95.03
FORMOSO,Vara Judicial,2025,1423,2321,2450,51.35
GOIANIRA,Juizado Especial Cível e Criminal,2025,1598,1603,1159,41.96
GOIANIRA,Vara Criminal,2025,1921,1657,4133,71.38
GOIANIRA,Vara Cível,2025,3573,1946,5188,72.72
GOIANIRA,"Vara Família e Sucessões, da Infância e da Juventude, Fazendas Públicas e de Registros Públicos",2025,1442,2385,2088,46.68
GOIANÉSIA,"1ª Vara (Cível, de Família, Sucessões e da Infância e da Juventude)",2025,2092,2074,3120,60.07
GOIANÉSIA,Juizado Especial Cível e Criminal,2025,2125,2427,2638,52.08
GOIANÉSIA,Vara das Fazendas Públicas e Registros Públicos,2025,3013,3851,6159,61.53
