comarca,serventia,ano_ref,Distribuidos_ano,Baixados_ano,Pendentes_ano,Taxa_Cong_anual (%)
TRIBUNAL DE JUSTIÇA,GABINETE DES. ALTAIR GUERRA DA COSTA,2025,2561,3433,692,16.78
TRIBUNAL DE JUSTIÇA,GABINETE DES. ALTAMIRO GARCIA FILHO,2025,2683,3537,730,17.11
TRIBUNAL DE JUSTIÇA,GABINETE DES. ANDERSON MÁXIMO DE HOLANDA,2025,2697,3536,688,16.29
TRIBUNAL DE JUSTIÇA,GABINETE DES. AURELIANO ALBUQUERQUE AMORIM,2025,2688,3889,763,16.4
TRIBUNAL DE JUSTIÇA,GABINETE DES. BRENO BOSS CACHAPUZ CAIADO,2025,2741,3614,690,16.03
TRIBUNAL DE JUSTIÇA,GABINETE DES. CARMECY ROSA MARIA A. DE OLIVEIRA,2025,1795,1719,561,24.61
TRIBUNAL DE JUSTIÇA,GABINETE DES. DELINTRO BELO DE ALMEIDA FILHO,2025,2641,3590,745,17.19
TRIBUNAL DE JUSTIÇA,GABINETE DES. DONIZETE MARTINS DE OLIVEIRA,2025,1880,1890,563,22.95
TRIBUNAL DE JUSTIÇA,GABINETE DES. EDISON MIGUEL DA SILVA JR,2025,1855,1923,431,18.31
TRIBUNAL DE JUSTIÇA,GABINETE DES. EDUARDO ABDON MOURA,2025,2761,3286,1016,23.62
TRIBUNAL DE JUSTIÇA,GABINETE DES. ELISEU JOSÉ TAVEIRA VIEIRA,2025,2645,3801,1046,21.58
TRIBUNAL DE JUSTIÇA,GABINETE DES. FABIANO ABEL DE ARAGÃO FERNANDES,2025,2708,3452,876,20.24
TRIBUNAL DE JUSTIÇA,GABINETE DES. FABIO CRISTOVAO DE CAMPOS FARIA,2025,1846,1752,632,26.51
TRIBUNAL DE JUSTIÇA,GABINETE DES. FERNANDO BRAGA VIGGIANO,2025,2778,3504,1072,23.43
TRIBUNAL DE JUSTIÇA,GABINETE DES. FERNANDO DE CASTRO MESQUITA,2025,2825,3377,1389,29.14
TRIBUNAL DE JUSTIÇA,GABINETE DES. FERNANDO DE MELLO XAVIER,2025,2601,3586,707,16.47
TRIBUNAL DE JUSTIÇA,GABINETE DES. FERNANDO RIBEIRO MONTEFUSCO,2025,2625,3695,759,17.04
TRIBUNAL DE JUSTIÇA,GABINETE DES. GERSON SANTANA CINTRA,2025,2789,3864,1335,25.68
TRIBUNAL DE JUSTIÇA,GABINETE DES. GUILHERME GUTEMBERG ISAC PINTO,2025,2607,3500,714,16.94
TRIBUNAL DE JUSTIÇA,GABINETE DES. HEBER CARLOS DE OLIVEIRA,2025,2608,3488,874,20.04
TRIBUNAL DE JUSTIÇA,GABINETE DES. ITAMAR DE LIMA,2025,2785,3816,1528,28.59
TRIBUNAL DE JUSTIÇA,GABINETE DES. ITANEY FRANCISCO CAMPOS,2025,1756,1722,603,25.94
TRIBUNAL DE JUSTIÇA,GABINETE DES. IVO FAVARO,2025,1974,1856,727,28.15
TRIBUNAL DE JUSTIÇA,GABINETE DES. JEOVA SARDINHA DE MORAES,2025,2773,3433,1042,23.28
TRIBUNAL DE JUSTIÇA,GABINETE DES. JERONYMO PEDRO VILLAS BOAS,2025,2831,3708,1396,27.35
TRIBUNAL DE JUSTIÇA,GABINETE DES. JOSÉ CARLOS DUARTE,2025,2665,3578,597,14.3
TRIBUNAL DE JUSTIÇA,GABINETE DES. JOSÉ PAGANUCCI JÚNIOR,2025,1789,1717,479,21.81
TRIBUNAL DE JUSTIÇA,GABINETE DES. JOSÉ PROTO DE OLIVEIRA,2025,2752,3689,986,21.09
TRIBUNAL DE JUSTIÇA,GABINETE DES. JOSÉ RICARDO MARCOS MACHADO,2025,2619,3427,721,17.38
TRIBUNAL DE JUSTIÇA,GABINETE DES. KISLEU DIAS MACIEL FILHO,2025,2826,3476,1473,29.76
TRIBUNAL DE JUSTIÇA,GABINETE DES. LUIZ CLAUDIO VEIGA BRAGA,2025,1613,2064,393,16.0
TRIBUNAL DE JUSTIÇA,GABINETE DES. LUIZ EDUARDO DE SOUSA,2025,2757,3424,888,20.59
TRIBUNAL DE JUSTIÇA,GABINETE DES. MAURÍCIO PORFÍRIO ROSA,2025,2630,3572,712,16.62
TRIBUNAL DE JUSTIÇA,GABINETE DES. MURILO VIEIRA DE FARIA,2025,2699,4207,1196,22.14
TRIBUNAL DE JUSTIÇA,GABINETE DES. OSCAR DE OLIVEIRA SÁ NETO,2025,1840,1867,584,23.83
TRIBUNAL DE JUSTIÇA,GABINETE DES. PAULO CÉSAR ALVES DAS NEVES,2025,2690,3470,784,18.43
TRIBUNAL DE JUSTIÇA,GABINETE DES. REINALDO ALVES FERREIRA,2025,2662,3657,720,16.45
TRIBUNAL DE JUSTIÇA,GABINETE DES. ROBERTO HORACIO REZENDE,2025,1914,1833,586,24.22
TRIBUNAL DE JUSTIÇA,GABINETE DES. RODRIGO DE SILVEIRA,2025,2695,3742,716,16.06
TRIBUNAL DE JUSTIÇA,GABINETE DES. RONNIE PAES SANDRE,2025,2628,3595,705,16.4
TRIBUNAL DE JUSTIÇA,GABINETE DES. SEBASTIAO LUIZ FLEURY,2025,2681,3430,876,20.34
TRIBUNAL DE JUSTIÇA,GABINETE DES. SERGIO MENDONÇA DE ARAÚJO,2025,2707,3476,804,18.79
TRIBUNAL DE JUSTIÇA,GABINETE DES. SILVÂNIO DIVINO DE ALVARENGA,2025,2729,3426,800,18.93
TRIBUNAL DE JUSTIÇA,GABINETE DES. SIVAL GUERRA PIRES,2025,1875,1805,518,22.3
TRIBUNAL DE JUSTIÇA,GABINETE DES. VICENTE LOPES DA ROCHA JÚNIOR,2025,2741,3544,994,21.9
TRIBUNAL DE JUSTIÇA,GABINETE DES. WILD AFONSO OGAWA,2025,1868,1760,512,22.54
TRIBUNAL DE JUSTIÇA,GABINETE DES. WILLIAM COSTA MELLO,2025,2613,3546,875,19.79
TRIBUNAL DE JUSTIÇA,GABINETE DES. WILSON DA SILVA DIAS,2025,1808,1778,478,21.19
TRIBUNAL DE JUSTIÇA,GABINETE DES. WILSON SAFATLE FAIAD,2025,2689,3508,710,16.83
TRIBUNAL DE JUSTIÇA,GABINETE DES. WILTON MÜLLER SALOMÃO,2025,2700,3515,708,16.77
TRIBUNAL DE JUSTIÇA,GABINETE DES. ÁTILA NAVES AMARAL,2025,2720,3785,926,19.66
TRIBUNAL DE JUSTIÇA,GABINETE DESA ANA CRISTINA RIBEIRO PETERNELLA FRANÇA,2025,2693,3557,788,18.14
TRIBUNAL DE JUSTIÇA,GABINETE DESA CAMILA NINA ERBETTA NASCIMENTO,2025,2730,3532,954,21.27
TRIBUNAL DE JUSTIÇA,GABINETE DESA DORACI LAMAR ROSA DA SILVA ANDRADE,2025,2678,3339,1006,23.15
TRIBUNAL DE JUSTIÇA,GABINETE DESA ELIZABETH MARIA DA SILVA,2025,2727,3464,1286,27.07
TRIBUNAL DE JUSTIÇA,GABINETE DESA LÍLIA MÔNICA DE CASTRO BORGES ESCHER,2025,1865,1762,578,24.7
TRIBUNAL DE JUSTIÇA,GABINETE DESA MARIA DAS GRACAS CARNEIRO REQUI,2025,2789,3476,1080,23.71
TRIBUNAL DE JUSTIÇA,GABINETE DESA NELMA BRANCO FERREIRA PERILO,2025,2761,3579,1333,27.14
TRIBUNAL DE JUSTIÇA,GABINETE DESA SANDRA REGINA TEODORO REIS,2025,2644,3491,1219,25.88
TRIBUNAL DE JUSTIÇA,GABINETE DESA. ALICE TELES DE OLIVEIRA,2025,2658,3441,708,17.06
TRIBUNAL DE JUSTIÇA,GABINETE DESA. EDNA MARIA RAMOS DA HORA,2025,1744,1791,449,20.04
TRIBUNAL DE JUSTIÇA,GABINETE DESA. JULIANA PEREIRA DINIZ PRUDENTE,2025,2667,3532,739,17.3
TRIBUNAL DE JUSTIÇA,GABINETE DESA. MÔNICA CÉZAR MORENO SENHORELO,2025,2603,3550,748,17.4
TRIBUNAL DE JUSTIÇA,GABINETE DESA. ROBERTA NASSER LEONE,2025,2648,3815,939,19.75
TRIBUNAL DE JUSTIÇA,GABINETE DESA. ROZANA FERNANDES CAMAPUM,2025,1823,1830,491,21.15
TRIBUNAL DE JUSTIÇA,GABINETE DESA. ZILMENE GOMIDE DA SILVA,2025,1854,1786,570,24.19
TRIBUNAL DE JUSTIÇA,Núcleo de Justiça 4.0 em Segundo Grau - Executivo Fiscal Municipal,2025,5226,4484,811,15.32
TRIBUNAL DE JUSTIÇA,PRESIDÊNCIA DO TRIBUNAL DE JUSTIÇA,2025,11,8,12,60.0
TRINDADE,2ª Vara Cível e Ambiental,2025,2638,2109,4684,68.95
TRINDADE,2º CEJUSC REGIONAL VIRTUAL DO INTERIOR,2025,291,301,50,14.25
TRINDADE,3ª Vara Criminal (crimes em geral),2025,1661,1838,2241,54.94
TRINDADE,Vara de Família e Sucessões,2025,2024,2426,2875,54.24
TRINDADE,Vara de Fazendas Públicas e Registros Públicos,2025,2559,5041,6838,57.56
TURVÂNIA,Vara Judicial,2025,1266,1643,3288,66.68
URUANA,Vara Judicial,2025,1757,1984,2502,55.77
URUAÇU,"1ª Vara (Cív., Criminal - crime em geral e exec. penais - e da Inf. e da Juv.)",2025,1925,1911,3166,62.36
URUAÇU,"2ª Vara (Cív., Criminal – crime em geral, crimes dolosos contra a vida e Pres. do Trib. do Juri, das Faz. Púb. e de Reg. Pub.)",2025,2787,3791,5283,58.22
URUAÇU,Juizado Especial Cível e Criminal,2025,1965,1967,1570,44.39
VALPARAÍSO DE GOIÁS,"1ª Vara Cível (Cível, Infância e Juventude)",2025,2066,1460,4714,76.35
VALPARAÍSO DE GOIÁS,"2ª Vara (Cível, das Fazendas Públicas, de Registros Públicos e Ambiental)",2025,2203,2448,5629,69.69
VALPARAÍSO DE GOIÁS,3ª Vara de Família e Sucessões e das Fazendas Públicas,2025,1856,2854,3138,52.37
VALPARAÍSO DE GOIÁS,"4ª Vara Cível, Família e Sucessões",2025,3354,2470,6532,72.56
VALPARAÍSO DE GOIÁS,Juizado Especial Cível e Criminal,2025,4839,5140,4060,44.13
ÁGUAS LINDAS DE GOIÁS,"1ª Vara Criminal (crimes dolosos contra a vida, Pres. Trib. Juri e execuções penais)",2025,1961,1606,3473,68.38
ÁGUAS LINDAS DE GOIÁS,"2ª Vara de Fazendas Públicas, Registros Públicos e Ambiental",2025,240,3989,1292,24.47
ÁGUAS LINDAS DE GOIÁS,Juizado Especial Cível e Criminal,2025,3607,4372,2794,38.99
ÁGUAS LINDAS DE GOIÁS,Juizado de Violência Doméstica e Familiar contra a Mulher,2025,2507,3129,2247,41.8
